,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ULBP1,5.74097447375301,-2.80465827907082,0.709485762954525,-3.95308605967135,7.71496733844715E-05,0.000313444820975
NHSL2,27.2662283821065,0.890149934918395,0.225190197000516,3.95288048403081,7.7216009841445E-05,0.000313577070813
PRKD1,45.3839511716462,-0.796809333427973,0.201575030050547,-3.95291685298603,7.72042701501645E-05,0.000313577070813
WDR19,48.8719598197447,0.72845089060623,0.184296112679776,3.95261126246299,7.73029655345282E-05,0.000313861537449
ROBO4,1.25523298671534,-4.12177586915362,1.04297101356277,-3.9519563013297,7.75148977609214E-05,0.000314653192026
MICALL1,109.523048571702,-0.60496066762612,0.153097001948249,-3.95148605085431,7.76674000205735E-05,0.000315203311452
DDB2,166.912277535426,-0.489274542396106,0.123824934809823,-3.95134100532787,7.77144955072767E-05,0.000315325503847
CTD-3064M3.3,2.87338242472735,3.26872973828734,0.827725035511103,3.94905264194282,7.84610971764064E-05,0.000318285259372
TCEB2,244.762995886065,-0.40119557401565,0.101602679861502,-3.94867118232053,7.85862097373992E-05,0.000318723139907
ZFAND1,103.307239705127,0.888303669686385,0.225012467714418,3.94779755410622,7.88734565953158E-05,0.00031981825574
NR1H2,138.766019890986,0.622139966666629,0.157594268140279,3.94773219869168,7.88949851560625E-05,0.000319835686712
GMPR2,328.792266051087,0.520332241318864,0.131819104184166,3.94732041716731,7.90307568808811E-05,0.0003203161441
BRWD1,191.411904946572,0.417957348040849,0.105934220059341,3.94544225470035,7.96528267466072E-05,0.000322766955446
ARHGAP11B,7.54206255687636,-1.85859855547487,0.471173881353061,-3.9446128680511,7.99290003220405E-05,0.000323815371667
CPEB3,5.47204782863349,2.54144736441893,0.64429178097362,3.94455965366876,7.99467507965408E-05,0.000323816612489
ETV5,116.123310718028,-1.63512601503299,0.414669516148295,-3.94320284312442,8.04005965673617E-05,0.000325512818774
MAGEB3,1.36118135620673,4.19124615791751,1.06289645999637,3.94323089375219,8.03911891796906E-05,0.000325512818774
TOMM6,44.3565657056284,-0.769154704941501,0.19508860488064,-3.9425916516861,8.06058314373803E-05,0.000326272579366
MYCBP2,144.050605947749,0.595078291364905,0.150940086870351,3.94248011713444,8.06433375437883E-05,0.000326353231922
CHRNB1,14.8236422858856,1.31827044170258,0.334388299550787,3.94233423679455,8.06924181249344E-05,0.000326409535335
PROK1,3.92411805067318,3.83812846938786,0.973562158626567,3.94235584793314,8.06851454034402E-05,0.000326409535335
HMBOX1,111.017261806961,0.585756053375597,0.148616514783036,3.9413927464975,8.10098567878833E-05,0.000327622216025
CLDN12,41.1651983265545,0.811798654195688,0.206119224294801,3.9384907301738,8.19957614222654E-05,0.000331537207424
PITRM1,301.168790276002,0.521103548448333,0.132323895281715,3.93809105557931,8.21324283999417E-05,0.00033201748005
M6PR,195.034798320421,0.458301846075813,0.116382233422855,3.93790214018882,8.21971020975841E-05,0.000332206576581
DSCC1,4.1267488852969,-2.40292254494289,0.61026891981169,-3.93748143963216,8.23412986088609E-05,0.000332716919041
EPHA5,36.1083153078835,3.00824058558184,0.764056149545549,3.93719831634246,8.24384746093845E-05,0.000333037084695
TBC1D23,123.2646549228,0.559375020684289,0.142089119528554,3.93678997054998,8.25788214694458E-05,0.000333531475835
METTL9,261.916577077177,-0.38785892596987,0.098529675966528,-3.93646809618689,8.26896075576183E-05,0.000333906283466
CKMT1B,1.16209527283267,-4.31844653090327,1.09730702038825,-3.93549521753294,8.30253176802672E-05,0.000335188989147
ELAC2,442.888418693117,-0.433605913059104,0.110181049873256,-3.9353946396217,8.30600973566046E-05,0.000335256487765
SNX18,63.5478558353954,-0.861201372553456,0.218867629860834,-3.93480467212556,8.3264384573513E-05,0.00033600799366
